"";"Datum";"bula";"Bevölkerung";"EingetrageneImpfungen";"Teilgeimpfte";"Vollimmunisierte";"Datum_minus7";"vollimmun_minus7";"delta_vollimm";"vollimm_jeTag_last7";"DeltaNonImmBev";"dauerDeltaNonimmBev";"TagErreichenImmunquote";"ImpfquoteAct"
"1";"2021-03-25";"Burgenland";294436;51305;37775;13530;"2021-03-18";10819;2711;387,285714285714;192575;497;"2022-08-04";0,0459522612723988
"2";"2021-03-25";"Kärnten";561293;98718;68582;30136;"2021-03-18";26394;3742;534,571428571429;362769;679;"2023-02-02";0,0536903186036526
"3";"2021-03-25";"Niederösterreich";1684287;287585;211902;75683;"2021-03-18";62312;13371;1910,14285714286;1103318;578;"2022-10-24";0,0449347409319196
"4";"2021-03-25";"Oberösterreich";1490279;226798;167719;59079;"2021-03-18";49531;9548;1364;984116;721;"2023-03-16";0,0396429125016188
"5";"2021-03-25";"Salzburg";558410;82170;58794;23376;"2021-03-18";16386;6990;998,571428571429;367511;368;"2022-03-28";0,0418617145108433
"6";"2021-03-25";"Steiermark";1246395;178905;121176;57729;"2021-03-18";37557;20172;2881,71428571429;814747;283;"2022-01-02";0,0463167775865596
"7";"2021-03-25";"Tirol";757634;162322;132930;29392;"2021-03-18";23581;5811;830,142857142857;500952;603;"2022-11-18";0,0387944574821088
"8";"2021-03-25";"Vorarlberg";397139;71272;53480;17792;"2021-03-18";15306;2486;355,142857142857;260205;733;"2023-03-28";0,0448004351121396
"9";"2021-03-25";"Wien";1911191;270727;204433;66294;"2021-03-18";59734;6560;937,142857142857;1271540;1357;"2024-12-11";0,03468727092164
"10";"2021-03-24";"Burgenland";294436;49868;37515;12353;"2021-03-17";9393;2960;422,857142857143;193752;458;"2022-06-25";0,0419547881373202
"11";"2021-03-24";"Kärnten";561293;96186;66349;29837;"2021-03-17";25283;4554;650,571428571429;363068;558;"2022-10-03";0,0531576199952609
"12";"2021-03-24";"Niederösterreich";1684287;277561;204815;72746;"2021-03-17";60436;12310;1758,57142857143;1106255;629;"2022-12-13";0,0431909763597297
"13";"2021-03-24";"Oberösterreich";1490279;218692;161916;56776;"2021-03-17";47785;8991;1284,42857142857;986419;768;"2023-05-01";0,0380975642815875
"14";"2021-03-24";"Salzburg";558410;79430;57937;21493;"2021-03-17";15651;5842;834,571428571429;369394;443;"2022-06-10";0,0384896402285059
"15";"2021-03-24";"Steiermark";1246395;171201;119232;51969;"2021-03-17";37157;14812;2116;820507;388;"2022-04-16";0,0416954496768681
"16";"2021-03-24";"Tirol";757634;157763;129201;28562;"2021-03-17";22426;6136;876,571428571429;501782;572;"2022-10-17";0,0376989417053617
"17";"2021-03-24";"Vorarlberg";397139;69883;52095;17788;"2021-03-17";15270;2518;359,714285714286;260209;723;"2023-03-17";0,0447903630718716
"18";"2021-03-24";"Wien";1911191;261162;196907;64255;"2021-03-17";59065;5190;741,428571428571;1273579;1718;"2025-12-06";0,0336203969148034
"19";"2021-03-23";"Burgenland";294436;48935;37391;11544;"2021-03-16";8412;3132;447,428571428571;194561;435;"2022-06-01";0,0392071621676697
"20";"2021-03-23";"Kärnten";561293;93470;64578;28892;"2021-03-16";24299;4593;656,142857142857;364013;555;"2022-09-29";0,0514740073366317
"21";"2021-03-23";"Niederösterreich";1684287;268535;199051;69484;"2021-03-16";58276;11208;1601,14285714286;1109517;693;"2023-02-14";0,0412542517991292
"22";"2021-03-23";"Oberösterreich";1490279;212647;157565;55082;"2021-03-16";46464;8618;1231,14285714286;988113;803;"2023-06-04";0,03696086437506
"23";"2021-03-23";"Salzburg";558410;76748;57347;19401;"2021-03-16";15056;4345;620,714285714286;371486;598;"2022-11-11";0,0347432889812145
"24";"2021-03-23";"Steiermark";1246395;162915;117482;45433;"2021-03-16";36872;8561;1223;827043;676;"2023-01-28";0,0364515262015653
"25";"2021-03-23";"Tirol";757634;154043;126342;27701;"2021-03-16";21568;6133;876,142857142857;502643;574;"2022-10-18";0,0365625090743024
"26";"2021-03-23";"Vorarlberg";397139;69869;52081;17788;"2021-03-16";13451;4337;619,571428571429;260209;420;"2022-05-17";0,0447903630718716
"27";"2021-03-23";"Wien";1911191;257437;194028;63409;"2021-03-16";58605;4804;686,285714285714;1274425;1857;"2026-04-23";0,0331777410002454
"28";"2021-03-22";"Burgenland";294436;48791;37291;11500;"2021-03-15";8380;3120;445,714285714286;194605;437;"2022-06-02";0,0390577239196294
"29";"2021-03-22";"Kärnten";561293;91550;62694;28856;"2021-03-15";23262;5594;799,142857142857;364049;456;"2022-06-21";0,051409869711541
"30";"2021-03-22";"Niederösterreich";1684287;261782;194179;67603;"2021-03-15";56671;10932;1561,71428571429;1111398;712;"2023-03-04";0,0401374587585132
"31";"2021-03-22";"Oberösterreich";1490279;207429;153882;53547;"2021-03-15";44883;8664;1237,71428571429;989648;800;"2023-05-31";0,0359308559001368
"32";"2021-03-22";"Salzburg";558410;74160;56704;17456;"2021-03-15";14432;3024;432;373431;864;"2023-08-03";0,0312601851686037
"33";"2021-03-22";"Steiermark";1246395;153794;115750;38044;"2021-03-15";36383;1661;237,285714285714;834432;3517;"2030-11-07";0,0305232289924141
"34";"2021-03-22";"Tirol";757634;150957;123783;27174;"2021-03-15";20796;6378;911,142857142857;503170;552;"2022-09-25";0,0358669225509943
"35";"2021-03-22";"Vorarlberg";397139;69644;51917;17727;"2021-03-15";13442;4285;612,142857142857;260270;425;"2022-05-21";0,0446367644577843
"36";"2021-03-22";"Wien";1911191;252304;189977;62327;"2021-03-15";58034;4293;613,285714285714;1275507;2080;"2026-12-01";0,0326116018754797
"37";"2021-03-21";"Burgenland";294436;48663;37181;11482;"2021-03-14";8348;3134;447,714285714286;194623;435;"2022-05-30";0,0389965900908856
"38";"2021-03-21";"Kärnten";561293;90879;62039;28840;"2021-03-14";23078;5762;823,142857142857;364065;442;"2022-06-06";0,0513813641003896
"39";"2021-03-21";"Niederösterreich";1684287;256298;189229;67069;"2021-03-14";55991;11078;1582,57142857143;1111932;703;"2023-02-22";0,0398204106544787
"40";"2021-03-21";"Oberösterreich";1490279;205296;151898;53398;"2021-03-14";44688;8710;1244,28571428571;989797;795;"2023-05-25";0,0358308746214635
"41";"2021-03-21";"Salzburg";558410;73244;56247;16997;"2021-03-14";14248;2749;392,714285714286;373890;952;"2023-10-29";0,0304382084848051
"42";"2021-03-21";"Steiermark";1246395;152120;114341;37779;"2021-03-14";36051;1728;246,857142857143;834697;3381;"2030-06-23";0,0303106158160134
"43";"2021-03-21";"Tirol";757634;148881;121974;26907;"2021-03-14";20066;6841;977,285714285714;503437;515;"2022-08-18";0,0355145096444985
"44";"2021-03-21";"Vorarlberg";397139;69540;51838;17702;"2021-03-14";13442;4260;608,571428571429;260295;428;"2022-05-23";0,0445738142061092
"45";"2021-03-21";"Wien";1911191;246377;185003;61374;"2021-03-14";56730;4644;663,428571428571;1276460;1924;"2026-06-27";0,0321129599291751
"46";"2021-03-20";"Burgenland";294436;46972;35501;11471;"2021-03-13";8348;3123;446,142857142857;194634;436;"2022-05-30";0,0389592305288755
"47";"2021-03-20";"Kärnten";561293;89691;60860;28831;"2021-03-13";21023;7808;1115,42857142857;364074;326;"2022-02-09";0,051365329694117
"48";"2021-03-20";"Niederösterreich";1684287;252745;187005;65740;"2021-03-13";55706;10034;1433,42857142857;1113261;777;"2023-05-06";0,03903135273264
"49";"2021-03-20";"Oberösterreich";1490279;204410;151535;52875;"2021-03-13";44674;8201;1171,57142857143;990320;845;"2023-07-13";0,0354799336231672
"50";"2021-03-20";"Salzburg";558410;73138;56143;16995;"2021-03-13";14223;2772;396;373892;944;"2023-10-20";0,0304346268870543
"51";"2021-03-20";"Steiermark";1246395;151894;114119;37775;"2021-03-13";36033;1742;248,857142857143;834701;3354;"2030-05-26";0,0303074065605205
"52";"2021-03-20";"Tirol";757634;147533;120693;26840;"2021-03-13";20025;6815;973,571428571429;503504;517;"2022-08-19";0,035426076443243
"53";"2021-03-20";"Vorarlberg";397139;66215;50151;16064;"2021-03-13";13441;2623;374,714285714286;261933;699;"2023-02-17";0,0404493137163562
"54";"2021-03-20";"Wien";1911191;241815;180528;61287;"2021-03-13";56709;4578;654;1276547;1952;"2026-07-24";0,0320674385762595
"55";"2021-03-19";"Burgenland";294436;44745;33387;11358;"2021-03-12";8225;3133;447,571428571429;194747;435;"2022-05-28";0,0385754459373174
"56";"2021-03-19";"Kärnten";561293;85993;59428;26565;"2021-03-12";18942;7623;1089;366340;336;"2022-02-18";0,0473282225148006
"57";"2021-03-19";"Niederösterreich";1684287;235293;171167;64126;"2021-03-12";55281;8845;1263,57142857143;1114875;882;"2023-08-18";0,0380730837440412
"58";"2021-03-19";"Oberösterreich";1490279;200547;148933;51614;"2021-03-12";44602;7012;1001,71428571429;991581;990;"2023-12-04";0,0346337833385561
"59";"2021-03-19";"Salzburg";558410;72780;55851;16929;"2021-03-12";14173;2756;393,714285714286;373958;950;"2023-10-25";0,0303164341612793
"60";"2021-03-19";"Steiermark";1246395;146743;109047;37696;"2021-03-12";35311;2385;340,714285714286;834780;2450;"2027-12-03";0,0302440237645369
"61";"2021-03-19";"Tirol";757634;142872;118818;24054;"2021-03-12";18973;5081;725,857142857143;506290;698;"2023-02-15";0,0317488391492462
"62";"2021-03-19";"Vorarlberg";397139;64859;48799;16060;"2021-03-12";13441;2619;374,142857142857;261937;700;"2023-02-17";0,0404392416760882
"63";"2021-03-19";"Wien";1911191;235856;175545;60311;"2021-03-12";56310;4001;571,571428571429;1277523;2235;"2027-05-02";0,031556762249299
"64";"2021-03-18";"Burgenland";294436;42689;31870;10819;"2021-03-11";8039;2780;397,142857142857;195286;492;"2022-07-23";0,0367448273988235
"65";"2021-03-18";"Kärnten";561293;84871;58477;26394;"2021-03-11";18585;7809;1115,57142857143;366511;329;"2022-02-10";0,0470235687956201
"66";"2021-03-18";"Niederösterreich";1684287;224683;162371;62312;"2021-03-11";54205;8107;1158,14285714286;1116689;964;"2023-11-07";0,0369960701471899
"67";"2021-03-18";"Oberösterreich";1490279;191132;141601;49531;"2021-03-11";44440;5091;727,285714285714;993664;1366;"2024-12-13";0,0332360584830089
"68";"2021-03-18";"Salzburg";558410;70378;53992;16386;"2021-03-11";13698;2688;384;374501;975;"2023-11-18";0,0293440303719489
"69";"2021-03-18";"Steiermark";1246395;136135;98578;37557;"2021-03-11";34752;2805;400,714285714286;834919;2084;"2026-12-01";0,0301325021361607
"70";"2021-03-18";"Tirol";757634;139996;116415;23581;"2021-03-11";18063;5518;788,285714285714;506763;643;"2022-12-21";0,031124527146353
"71";"2021-03-18";"Vorarlberg";397139;62898;47592;15306;"2021-03-11";13353;1953;279;262691;942;"2023-10-16";0,038540662085567
"72";"2021-03-18";"Wien";1911191;230751;171017;59734;"2021-03-11";54595;5139;734,142857142857;1278100;1741;"2025-12-23";0,0312548562650201
"73";"2021-03-17";"Burgenland";294436;40531;31138;9393;"2021-03-10";7282;2111;301,571428571429;196712;652;"2022-12-29";0,0319016696327895
"74";"2021-03-17";"Kärnten";561293;82209;56926;25283;"2021-03-10";18303;6980;997,142857142857;367622;369;"2022-03-21";0,0450442104212951
"75";"2021-03-17";"Niederösterreich";1684287;216498;156062;60436;"2021-03-10";52683;7753;1107,57142857143;1118565;1010;"2023-12-22";0,0358822457217802
"76";"2021-03-17";"Oberösterreich";1490279;181241;133456;47785;"2021-03-10";44229;3556;508;995410;1959;"2026-07-28";0,0320644657812396
"77";"2021-03-17";"Salzburg";558410;67217;51566;15651;"2021-03-10";13248;2403;343,285714285714;375236;1093;"2024-03-14";0,0280277931985459
